net,length_um
_03499_,404.47µm
_05777_,404.37µm
net1396,404.16µm
_10372_,404.01µm
_10410_,403.86µm
clknet_6_51_0_clk,403.7µm
net1390,403.6µm
net96,403.55µm
net213,403.55µm
spi_ctrl.word_buf\[11\],403.4µm
net1474,402.94µm
net342,402.84µm
_09940_,402.25µm
_05849_,401.93µm
net1588,401.62µm
clknet_6_47_0_clk,401.51µm
_12162_,401.16µm
net833,400.8µm
_11098_,400.55µm
_07037_,399.86µm
net1761,399.33µm
net1386,399.15µm
_10146_,398.61µm
net1730,398.51µm
clknet_6_44_0_clk,398.46µm
_09842_,398.44µm
net1521,397.95µm
net725,397.94µm
net1758,397.85µm
net1448,397.49µm
net731,397.44µm
net893,397.39µm
_10515_,396.88µm
_11199_,396.84µm
net942,396.78µm
_10652_,396.63µm
_04399_,396.29µm
net569,396.22µm
_05906_,396.07µm
clknet_6_5_0_clk,395.76µm
net799,395.1µm
net1531,394.95µm
net1757,394.49µm
net1535,394.03µm
clknet_6_61_0_clk,393.62µm
net1740,393.32µm
net826,393.22µm
_08306_,393.17µm
net1394,392.86µm
clknet_6_16_0_clk,392.86µm
_04130_,392.71µm
net758,392.3µm
net1736,392.15µm
